time	V(n002)	V(n003)	I(Rload)
2.259028215176439e-006	3.083034e-004	6.537830e+000	1.199969e-002
2.359474643747868e-006	3.084610e-004	6.536505e+000	1.199969e-002
2.459921072319297e-006	3.086085e-004	6.535253e+000	1.199969e-002
2.560367500890726e-006	3.087458e-004	6.534073e+000	1.199969e-002
2.704061697319298e-006	3.089317e-004	6.532468e+000	1.199969e-002
2.847755893747870e-006	3.091084e-004	6.530936e+000	1.199969e-002
2.991450090176441e-006	3.092760e-004	6.529475e+000	1.199969e-002
3.135144286605013e-006	3.094345e-004	6.528086e+000	1.199969e-002
3.278838483033585e-006	3.095838e-004	6.526769e+000	1.199969e-002
3.422532679462157e-006	3.097240e-004	6.525524e+000	1.199969e-002
3.566226875890728e-006	3.098550e-004	6.524351e+000	1.199969e-002
3.771085090049196e-006	3.100322e-004	6.522760e+000	1.199969e-002
3.975943304207664e-006	3.102010e-004	6.521240e+000	1.199969e-002
4.180801518366131e-006	3.103613e-004	6.519791e+000	1.199969e-002
4.385659732524598e-006	3.105132e-004	6.518413e+000	1.199969e-002
4.590517946683066e-006	3.106567e-004	6.517106e+000	1.199969e-002
4.795376160841534e-006	3.107918e-004	6.515869e+000	1.199969e-002
5.000234375000001e-006	3.109185e-004	6.514704e+000	1.199969e-002
5.010000000000000e-006	3.109289e-004	6.514642e+000	1.199969e-002
5.010045393347318e-006	3.070835e-004	6.513644e+000	1.199969e-002
5.010136180041951e-006	2.957868e-004	6.511365e+000	1.199970e-002
5.010317753431219e-006	2.672729e-004	6.506458e+000	1.199973e-002
5.010526200304956e-006	2.330303e-004	6.500713e+000	1.199977e-002
5.010715679678657e-006	2.022684e-004	6.495372e+000	1.199980e-002
5.011094638426061e-006	1.406742e-004	6.484135e+000	1.199986e-002
5.011730827885461e-006	3.213256e-005	6.463357e+000	1.199997e-002
5.012038863565366e-006	-3.150961e-005	6.450727e+000	1.200003e-002
5.012236391752150e-006	-8.980532e-005	6.439082e+000	1.200009e-002
5.012406780973227e-006	-1.673699e-004	6.423868e+000	1.200017e-002
5.012588048244016e-006	-2.948622e-004	6.399493e+000	1.200029e-002
5.012774810365616e-006	-4.924972e-004	6.362815e+000	1.200049e-002
5.013015092544702e-006	-8.347930e-004	6.301033e+000	1.200083e-002
5.013236143142701e-006	-1.194341e-003	6.237519e+000	1.200119e-002
5.013470270605123e-006	-1.556460e-003	6.173674e+000	1.200156e-002
5.013731476950056e-006	-1.877000e-003	6.114769e+000	1.200188e-002
5.014076592482571e-006	-2.183095e-003	6.052873e+000	1.200218e-002
5.014463559354940e-006	-2.441760e-003	5.994018e+000	1.200244e-002
5.014946355259438e-006	-2.718613e-003	5.925516e+000	1.200272e-002
5.015541858594350e-006	-3.048480e-003	5.841106e+000	1.200305e-002
5.016632612275691e-006	-3.665412e-003	5.682574e+000	1.200367e-002
5.017842361293086e-006	-4.409578e-003	5.498766e+000	1.200441e-002
5.020000000000000e-006	-5.856695e-003	5.157962e+000	1.200586e-002
5.020215763870692e-006	-5.964184e-003	5.130883e+000	1.200596e-002
5.020647291612075e-006	-6.143022e-003	5.080761e+000	1.200614e-002
5.021510347094841e-006	-6.458989e-003	4.986881e+000	1.200646e-002
5.022680498523584e-006	-6.920585e-003	4.862312e+000	1.200692e-002
5.024020351666083e-006	-7.580206e-003	4.721520e+000	1.200758e-002
5.026700057951083e-006	-9.416471e-003	4.444876e+000	1.200942e-002
5.029468397274893e-006	-1.239942e-002	4.164471e+000	1.201240e-002
5.031756544215750e-006	-1.666833e-002	3.936811e+000	1.201667e-002
5.033488723952578e-006	-2.245994e-002	3.766331e+000	1.202246e-002
5.034816140252022e-006	-3.041404e-002	3.635733e+000	1.203041e-002
5.035879101313681e-006	-4.166902e-002	3.529732e+000	1.204167e-002
5.036766784843711e-006	-5.795345e-002	3.438327e+000	1.205795e-002
5.037510475542967e-006	-8.177792e-002	3.356876e+000	1.208178e-002
5.038258121170617e-006	-1.205824e-001	3.267531e+000	1.212058e-002
5.039027291796087e-006	-1.755189e-001	3.168030e+000	1.217552e-002
5.039966377600136e-006	-2.536160e-001	3.041371e+000	1.225362e-002
5.041039832382519e-006	-3.451554e-001	2.896691e+000	1.234516e-002
5.042612500479403e-006	-4.567138e-001	2.699407e+000	1.245671e-002
5.044609693753095e-006	-5.402816e-001	2.484054e+000	1.254028e-002
5.046469191639698e-006	-5.723176e-001	2.312508e+000	1.257232e-002
5.049213668609856e-006	-5.904274e-001	2.081048e+000	1.259043e-002
5.052129199884443e-006	-6.009495e-001	1.847354e+000	1.260095e-002
5.057960262433617e-006	-6.129015e-001	1.404004e+000	1.261290e-002
5.064662546410260e-006	-6.216470e-001	9.195455e-001	1.262165e-002
5.068735805079622e-006	-6.252392e-001	6.395355e-001	1.262524e-002
5.071458407625133e-006	-6.270502e-001	4.617126e-001	1.262705e-002
5.073192235591122e-006	-6.279983e-001	3.593198e-001	1.262800e-002
5.074518364640863e-006	-6.285756e-001	2.970254e-001	1.262858e-002
5.075998500461853e-006	-6.290511e-001	2.455325e-001	1.262905e-002
5.077511510434665e-006	-6.293537e-001	2.049919e-001	1.262935e-002
5.080128726940016e-006	-6.295545e-001	1.494725e-001	1.262955e-002
5.082886218693385e-006	-6.294429e-001	1.035255e-001	1.262944e-002
5.086184254843959e-006	-6.289406e-001	6.246011e-002	1.262894e-002
5.090098241850426e-006	-6.279944e-001	2.685369e-002	1.262799e-002
5.093609982987762e-006	-6.268981e-001	4.048269e-003	1.262690e-002
5.097028052176820e-006	-6.256485e-001	-1.163623e-002	1.262565e-002
5.100309195817581e-006	-6.243222e-001	-2.244389e-002	1.262432e-002
5.103577147990786e-006	-6.229001e-001	-3.013231e-002	1.262290e-002
5.107361683869893e-006	-6.211571e-001	-3.645334e-002	1.262116e-002
5.110922291388147e-006	-6.194369e-001	-4.058880e-002	1.261944e-002
5.115186095683262e-006	-6.172885e-001	-4.392660e-002	1.261729e-002
5.119384796419641e-006	-6.150863e-001	-4.606363e-002	1.261509e-002
5.125229261291793e-006	-6.118941e-001	-4.787342e-002	1.261189e-002
5.130837509142355e-006	-6.086742e-001	-4.883359e-002	1.260867e-002
5.140603134142355e-006	-6.027136e-001	-4.959274e-002	1.260271e-002
5.149678030221078e-006	-5.967288e-001	-4.984666e-002	1.259673e-002
5.159443655221078e-006	-5.896033e-001	-4.984427e-002	1.258960e-002
5.169209280221078e-006	-5.815147e-001	-4.970646e-002	1.258152e-002
5.178974905221077e-006	-5.719712e-001	-4.945050e-002	1.257197e-002
5.188740530221077e-006	-5.600900e-001	-4.902773e-002	1.256009e-002
5.198506155221076e-006	-5.441833e-001	-4.830758e-002	1.254418e-002
5.208271780221076e-006	-5.213891e-001	-4.708279e-002	1.252139e-002
5.218037405221076e-006	-4.892672e-001	-4.535709e-002	1.248927e-002
5.227803030221075e-006	-4.489819e-001	-4.366383e-002	1.244898e-002
5.237568655221075e-006	-4.045309e-001	-4.259140e-002	1.240453e-002
5.247334280221074e-006	-3.586178e-001	-4.214209e-002	1.235862e-002
5.257099905221074e-006	-3.117694e-001	-4.199510e-002	1.231177e-002
5.266865530221074e-006	-2.638971e-001	-4.195126e-002	1.226390e-002
5.276631155221073e-006	-2.149124e-001	-4.194374e-002	1.221491e-002
5.286396780221073e-006	-1.647549e-001	-4.195487e-002	1.216475e-002
5.296162405221072e-006	-1.133690e-001	-4.198022e-002	1.211337e-002
5.305928030221072e-006	-6.069627e-002	-4.201856e-002	1.206070e-002
5.315693655221072e-006	-6.672606e-003	-4.206929e-002	1.200667e-002
5.325459280221071e-006	4.877090e-002	-4.213198e-002	1.195123e-002
5.335224905221071e-006	1.057076e-001	-4.220613e-002	1.189429e-002
5.344990530221070e-006	1.642135e-001	-4.229125e-002	1.183579e-002
5.354756155221070e-006	2.243666e-001	-4.238670e-002	1.177563e-002
5.364521780221070e-006	2.862446e-001	-4.249182e-002	1.171376e-002
5.374287405221069e-006	3.499236e-001	-4.260580e-002	1.165008e-002
5.393818655221068e-006	4.829708e-001	-4.285684e-002	1.151703e-002
5.413349905221068e-006	6.240200e-001	-4.313211e-002	1.137598e-002
5.432881155221067e-006	7.734577e-001	-4.342348e-002	1.122654e-002
5.452412405221066e-006	9.315130e-001	-4.372317e-002	1.106849e-002
5.481709280221065e-006	1.184837e+000	-4.417390e-002	1.081516e-002
5.511006155221064e-006	1.457149e+000	-4.461158e-002	1.054285e-002
5.536117762363919e-006	1.708456e+000	-4.496709e-002	1.029154e-002
5.561229369506776e-006	1.968131e+000	-4.530385e-002	1.003187e-002
5.586340976649632e-006	2.236173e+000	-4.562184e-002	9.763827e-003
5.611452583792488e-006	2.512585e+000	-4.592108e-002	9.487415e-003
5.636564190935344e-006	2.797364e+000	-4.620157e-002	9.202636e-003
5.661675798078201e-006	3.090511e+000	-4.646329e-002	8.909489e-003
5.686787405221056e-006	3.392027e+000	-4.670626e-002	8.607973e-003
5.718874458792484e-006	3.782480e+000	-4.699589e-002	8.217520e-003
5.750961512363911e-006	4.168536e+000	-4.727035e-002	7.831465e-003
5.783048565935338e-006	4.550194e+000	-4.752965e-002	7.449806e-003
5.815135619506766e-006	4.927456e+000	-4.777379e-002	7.072545e-003
5.847222673078193e-006	5.300320e+000	-4.800277e-002	6.699680e-003
5.879309726649620e-006	5.668787e+000	-4.821658e-002	6.331213e-003
5.911396780221047e-006	6.032857e+000	-4.841524e-002	5.967143e-003
5.963015083792474e-006	6.589047e+000	-4.871394e-002	5.410954e-003
6.014633387363900e-006	7.109990e+000	-4.899087e-002	4.890011e-003
6.066251690935327e-006	7.595686e+000	-4.924602e-002	4.404315e-003
6.117869994506753e-006	8.046135e+000	-4.947939e-002	3.953865e-003
6.169488298078180e-006	8.461337e+000	-4.969098e-002	3.538663e-003
6.221106601649606e-006	8.841292e+000	-4.988079e-002	3.158707e-003
6.272724905221033e-006	9.186001e+000	-5.004882e-002	2.813999e-003
6.315972673078174e-006	9.446334e+000	-5.017775e-002	2.553665e-003
6.359220440935315e-006	9.688033e+000	-5.029736e-002	2.311966e-003
6.402468208792456e-006	9.911097e+000	-5.040763e-002	2.088902e-003
6.445715976649597e-006	1.011553e+001	-5.050857e-002	1.884473e-003
6.488963744506738e-006	1.030132e+001	-5.060018e-002	1.698679e-003
6.532211512363879e-006	1.046848e+001	-5.068246e-002	1.531519e-003
6.575459280221020e-006	1.061701e+001	-5.075540e-002	1.382994e-003
6.614521780221019e-006	1.073997e+001	-5.081589e-002	1.260033e-003
6.653584280221017e-006	1.085413e+001	-5.087204e-002	1.145871e-003
6.692646780221015e-006	1.095949e+001	-5.092387e-002	1.040506e-003
6.731709280221014e-006	1.105606e+001	-5.097137e-002	9.439401e-004
6.770771780221012e-006	1.114383e+001	-5.101454e-002	8.561722e-004
6.809834280221011e-006	1.122280e+001	-5.105338e-002	7.772027e-004
6.848896780221009e-006	1.129297e+001	-5.108789e-002	7.070314e-004
6.885169101649579e-006	1.135305e+001	-5.111745e-002	6.469525e-004
6.921441423078149e-006	1.140893e+001	-5.114494e-002	5.910663e-004
6.957713744506719e-006	1.146063e+001	-5.117037e-002	5.393727e-004
6.993986065935289e-006	1.150813e+001	-5.119375e-002	4.918719e-004
7.030258387363858e-006	1.155144e+001	-5.121506e-002	4.485637e-004
7.066530708792429e-006	1.159055e+001	-5.123431e-002	4.094483e-004
7.102803030220999e-006	1.162547e+001	-5.125150e-002	3.745255e-004
7.139075351649568e-006	1.165765e+001	-5.126734e-002	3.423468e-004
7.175347673078139e-006	1.168755e+001	-5.128206e-002	3.124488e-004
7.211619994506709e-006	1.171517e+001	-5.129566e-002	2.848317e-004
7.247892315935278e-006	1.174050e+001	-5.130813e-002	2.594953e-004
7.284164637363848e-006	1.176356e+001	-5.131948e-002	2.364398e-004
7.320436958792419e-006	1.178433e+001	-5.132971e-002	2.156651e-004
7.356709280220988e-006	1.180283e+001	-5.133882e-002	1.971712e-004
7.392981601649558e-006	1.181987e+001	-5.134721e-002	1.801328e-004
7.429253923078129e-006	1.183569e+001	-5.135501e-002	1.643118e-004
7.465526244506698e-006	1.185029e+001	-5.136220e-002	1.497080e-004
7.501798565935268e-006	1.186368e+001	-5.136879e-002	1.363216e-004
7.538070887363838e-006	1.187585e+001	-5.137479e-002	1.241525e-004
7.574343208792408e-006	1.188680e+001	-5.138018e-002	1.132007e-004
7.610615530220978e-006	1.189653e+001	-5.138498e-002	1.034662e-004
7.645492762363833e-006	1.190518e+001	-5.138924e-002	9.481839e-005
7.680369994506690e-006	1.191323e+001	-5.139320e-002	8.677229e-005
7.715247226649546e-006	1.192067e+001	-5.139687e-002	7.932794e-005
7.750124458792402e-006	1.192751e+001	-5.140024e-002	7.248534e-005
7.785001690935257e-006	1.193376e+001	-5.140332e-002	6.624449e-005
7.819878923078113e-006	1.193939e+001	-5.140609e-002	6.060539e-005
7.854756155220969e-006	1.194443e+001	-5.140857e-002	5.556804e-005
7.889633387363825e-006	1.194908e+001	-5.141087e-002	5.091645e-005
7.924510619506680e-006	1.195341e+001	-5.141300e-002	4.658923e-005
7.959387851649536e-006	1.195741e+001	-5.141498e-002	4.258637e-005
7.994265083792392e-006	1.196109e+001	-5.141679e-002	3.890788e-005
8.029142315935248e-006	1.196445e+001	-5.141844e-002	3.555375e-005
8.064019548078103e-006	1.196748e+001	-5.141993e-002	3.252399e-005
8.098896780220959e-006	1.197018e+001	-5.142127e-002	2.981858e-005
8.133774012363815e-006	1.197268e+001	-5.142250e-002	2.732043e-005
8.168651244506670e-006	1.197500e+001	-5.142364e-002	2.499667e-005
8.203528476649526e-006	1.197715e+001	-5.142470e-002	2.284731e-005
8.238405708792382e-006	1.197913e+001	-5.142567e-002	2.087236e-005
8.273282940935238e-006	1.198093e+001	-5.142656e-002	1.907180e-005
8.308160173078093e-006	1.198255e+001	-5.142736e-002	1.744564e-005
8.343037405220949e-006	1.198401e+001	-5.142808e-002	1.599388e-005
8.351407940935235e-006	1.198434e+001	-5.142825e-002	1.565620e-005
8.359778476649520e-006	1.198467e+001	-5.142841e-002	1.532529e-005
8.368149012363806e-006	1.198500e+001	-5.142857e-002	1.500115e-005
8.376519548078090e-006	1.198532e+001	-5.142872e-002	1.468379e-005
8.384890083792376e-006	1.198563e+001	-5.142888e-002	1.437320e-005
